timestamp,server_id,cpu_utilization,memory_utilization,network_utilization,disk_utilization
2024-01-03 03:00:00,server_001,55.0,51.16,42.14,29.14
2024-01-03 04:00:00,server_001,41.19,44.26,37.76,23.83
2024-01-03 05:00:00,server_001,47.79,47.56,31.23,8.38
2024-01-03 06:00:00,server_001,51.27,49.29,12.33,21.46
2024-01-03 07:00:00,server_001,71.41,69.51,32.43,27.78
2024-01-03 08:00:00,server_001,90.38,82.99,41.1,30.58
2024-01-03 09:00:00,server_001,86.68,87.28,44.33,52.34
2024-01-03 10:00:00,server_001,98.53,93.2,64.86,47.61
2024-01-03 11:00:00,server_001,94.35,91.11,51.51,41.86
2024-01-03 12:00:00,server_001,90.42,89.15,46.49,38.8
2024-01-03 13:00:00,server_001,79.36,83.62,64.46,59.54
2024-01-03 14:00:00,server_001,93.52,90.7,61.93,46.86
2024-01-03 15:00:00,server_001,92.43,90.15,65.48,55.04
2024-01-03 16:00:00,server_001,98.33,93.1,78.42,59.5
2024-01-03 17:00:00,server_001,92.26,90.07,62.3,27.89
2024-01-03 18:00:00,server_001,63.29,65.44,20.95,15.83
2024-01-03 19:00:00,server_001,63.59,65.6,40.1,44.34
2024-01-03 20:00:00,server_001,60.93,64.26,35.75,24.93
2024-01-03 21:00:00,server_001,61.51,64.56,38.8,44.7
2024-01-03 22:00:00,server_001,47.67,47.49,29.44,20.14
2024-01-03 23:00:00,server_001,40.35,43.84,6.15,27.3
2024-01-04 00:00:00,server_001,46.45,46.88,28.71,10.74
2024-01-04 01:00:00,server_001,52.18,49.75,30.48,27.53
2024-01-04 02:00:00,server_001,49.8,48.56,19.8,7.45
2024-01-04 03:00:00,server_001,44.44,45.88,17.03,39.16
2024-01-04 04:00:00,server_001,48.81,48.07,21.17,26.3
2024-01-04 05:00:00,server_001,52.14,49.73,29.57,33.88
2024-01-04 06:00:00,server_001,54.03,50.67,27.43,20.1
2024-01-04 07:00:00,server_001,62.26,64.93,50.67,40.98
2024-01-04 08:00:00,server_001,62.64,65.12,35.36,26.5
2024-01-04 09:00:00,server_001,98.05,92.96,57.11,68.35
2024-01-04 10:00:00,server_001,100.0,100.0,59.65,72.21
2024-01-04 11:00:00,server_001,85.67,86.77,61.95,51.2
2024-01-04 12:00:00,server_001,83.78,85.83,39.4,42.73
2024-01-04 13:00:00,server_001,92.46,90.17,54.98,41.27
2024-01-04 14:00:00,server_001,87.0,87.44,52.87,35.64
2024-01-04 15:00:00,server_001,85.99,86.93,42.89,32.78
2024-01-04 16:00:00,server_001,100.0,100.0,58.44,50.14
2024-01-04 17:00:00,server_001,88.86,88.37,56.75,41.41
2024-01-04 18:00:00,server_001,68.74,68.17,47.98,17.08
2024-01-04 19:00:00,server_001,70.86,69.23,26.68,52.86
2024-01-04 20:00:00,server_001,67.54,67.57,49.73,47.05
2024-01-04 21:00:00,server_001,73.28,70.44,47.8,34.3
2024-01-04 22:00:00,server_001,46.64,46.98,29.79,36.46
2024-01-04 23:00:00,server_001,54.03,50.68,11.64,24.6
2024-01-05 00:00:00,server_001,50.18,48.75,23.92,9.82
2024-01-05 01:00:00,server_001,48.86,48.09,11.34,27.48
2024-01-05 02:00:00,server_001,51.76,49.54,36.05,17.51
2024-01-05 03:00:00,server_001,57.72,52.52,48.96,26.34
2024-01-05 04:00:00,server_001,47.08,47.2,27.13,26.07
2024-01-05 05:00:00,server_001,53.2,50.26,36.77,20.54
2024-01-05 06:00:00,server_001,44.61,45.96,42.65,14.86
2024-01-05 07:00:00,server_001,70.08,68.84,45.46,43.97
2024-01-05 08:00:00,server_001,70.09,68.84,43.08,37.36
2024-01-05 09:00:00,server_001,95.34,91.61,64.88,45.03
2024-01-05 10:00:00,server_001,90.73,89.3,38.3,56.1
2024-01-05 11:00:00,server_001,91.29,89.58,73.23,53.08
2024-01-05 12:00:00,server_001,88.09,87.98,57.46,50.77
2024-01-05 13:00:00,server_001,85.77,86.82,54.58,50.78
2024-01-05 14:00:00,server_001,93.81,90.84,54.91,33.97
2024-01-05 15:00:00,server_001,98.44,93.16,60.17,49.77
2024-01-05 16:00:00,server_001,89.9,88.89,36.56,45.85
2024-01-05 17:00:00,server_001,100.0,100.0,60.75,50.29
2024-01-05 18:00:00,server_001,75.89,71.74,33.68,42.03
2024-01-05 19:00:00,server_001,66.52,67.06,44.25,28.52
2024-01-05 20:00:00,server_001,70.84,69.22,48.31,29.69
2024-01-05 21:00:00,server_001,67.82,67.71,47.26,54.93
2024-01-05 22:00:00,server_001,43.74,45.53,35.12,34.88
2024-01-05 23:00:00,server_001,48.37,47.84,38.9,41.36
2024-01-06 00:00:00,server_001,39.33,38.59,31.12,33.35
2024-01-06 01:00:00,server_001,41.87,39.86,7.83,10.77
2024-01-06 02:00:00,server_001,43.11,40.48,34.47,16.92
2024-01-06 03:00:00,server_001,45.7,45.78,29.4,21.52
2024-01-06 04:00:00,server_001,45.14,41.5,29.38,19.25
2024-01-06 05:00:00,server_001,45.14,41.5,28.42,20.03
2024-01-06 06:00:00,server_001,30.86,34.36,12.79,15.93
2024-01-06 07:00:00,server_001,60.28,57.18,45.41,6.67
2024-01-06 08:00:00,server_001,62.98,58.53,49.24,34.83
2024-01-06 09:00:00,server_001,66.27,68.29,49.84,20.58
2024-01-06 10:00:00,server_001,74.85,72.58,45.19,35.8
2024-01-06 11:00:00,server_001,72.6,71.45,41.92,28.4
2024-01-06 12:00:00,server_001,71.32,70.81,45.11,28.42
2024-01-06 13:00:00,server_001,75.14,72.72,63.64,30.1
2024-01-06 14:00:00,server_001,73.84,72.07,29.21,22.99
2024-01-06 15:00:00,server_001,71.85,71.08,49.3,42.87
2024-01-06 16:00:00,server_001,80.34,75.32,54.76,39.01
2024-01-06 17:00:00,server_001,70.36,70.33,37.04,46.65
2024-01-06 18:00:00,server_001,51.04,52.56,27.61,25.03
2024-01-06 19:00:00,server_001,62.37,58.22,41.72,42.64
2024-01-06 20:00:00,server_001,53.5,53.79,44.03,22.92
2024-01-06 21:00:00,server_001,57.03,55.55,15.22,29.12
2024-01-06 22:00:00,server_001,41.37,39.61,19.01,13.33
2024-01-06 23:00:00,server_001,34.27,36.06,39.38,12.73
2024-01-07 00:00:00,server_001,45.91,41.88,13.49,26.13
2024-01-07 01:00:00,server_001,27.32,32.59,25.57,6.74
2024-01-07 02:00:00,server_001,41.1,39.48,15.46,13.72
2024-01-07 03:00:00,server_001,51.32,44.59,38.28,13.32
2024-01-07 04:00:00,server_001,38.64,38.25,15.75,11.11
2024-01-07 05:00:00,server_001,44.03,40.94,15.1,22.04
2024-01-07 06:00:00,server_001,38.53,38.19,13.75,23.21
2024-01-07 07:00:00,server_001,62.76,58.42,32.61,20.72
2024-01-07 08:00:00,server_001,57.62,55.85,55.77,31.08
2024-01-07 09:00:00,server_001,74.99,72.65,52.47,38.59
2024-01-07 10:00:00,server_001,67.71,69.0,50.44,17.91
2024-01-07 11:00:00,server_001,71.86,71.08,32.8,26.13
2024-01-07 12:00:00,server_001,73.54,71.92,36.58,25.49
2024-01-07 13:00:00,server_001,73.83,72.07,59.22,37.5
2024-01-07 14:00:00,server_001,67.54,68.92,29.84,27.71
2024-01-07 15:00:00,server_001,100.0,91.4,54.81,47.46
2024-01-07 16:00:00,server_001,78.89,74.59,42.01,27.41
2024-01-07 17:00:00,server_001,70.67,70.48,40.05,27.1
2024-01-07 18:00:00,server_001,68.93,65.5,37.78,30.25
2024-01-07 19:00:00,server_001,51.06,52.57,30.51,24.91
2024-01-07 20:00:00,server_001,53.08,53.58,23.35,19.59
2024-01-07 21:00:00,server_001,47.87,50.97,26.73,19.61
2024-01-07 22:00:00,server_001,32.66,35.26,33.46,27.17
2024-01-07 23:00:00,server_001,37.2,37.53,25.85,28.61
2024-01-08 00:00:00,server_001,48.11,47.71,46.34,27.21
2024-01-08 01:00:00,server_001,44.5,45.91,30.91,30.3
2024-01-08 02:00:00,server_001,73.67,64.5,39.85,27.87
2024-01-08 03:00:00,server_001,46.01,46.67,29.93,33.36
2024-01-08 04:00:00,server_001,44.24,45.78,33.94,13.11
2024-01-08 05:00:00,server_001,56.26,51.79,31.92,29.3
2024-01-08 06:00:00,server_001,49.06,48.19,48.67,21.24
2024-01-08 07:00:00,server_001,62.3,64.95,40.9,24.8
2024-01-08 08:00:00,server_001,66.54,67.07,22.86,29.31
2024-01-08 09:00:00,server_001,90.26,89.07,74.83,37.58
2024-01-08 10:00:00,server_001,96.75,92.31,59.13,57.76
2024-01-08 11:00:00,server_001,96.6,92.24,77.14,50.88
2024-01-08 12:00:00,server_001,87.68,87.78,43.52,41.35
2024-01-08 13:00:00,server_001,93.14,90.51,59.36,50.26
2024-01-08 14:00:00,server_001,100.0,100.0,61.46,59.11
2024-01-08 15:00:00,server_001,98.09,92.98,58.16,39.68
2024-01-08 16:00:00,server_001,87.53,87.7,64.8,46.9
2024-01-08 17:00:00,server_001,84.49,86.18,52.08,50.58
2024-01-08 18:00:00,server_001,63.87,65.73,23.64,43.39
2024-01-08 19:00:00,server_001,69.77,68.68,49.45,39.06
2024-01-08 20:00:00,server_001,60.27,63.94,40.2,29.77
2024-01-08 21:00:00,server_001,68.12,67.86,40.84,27.03
2024-01-08 22:00:00,server_001,41.99,44.65,16.6,27.76
2024-01-08 23:00:00,server_001,48.17,47.74,27.55,20.06
2024-01-09 00:00:00,server_001,51.06,49.19,22.86,19.55
2024-01-09 01:00:00,server_001,50.85,49.08,13.17,28.96
2024-01-09 02:00:00,server_001,45.23,46.28,16.43,17.75
2024-01-09 03:00:00,server_001,51.33,49.32,41.11,6.12
2024-01-09 04:00:00,server_001,43.57,45.45,24.95,20.43
2024-01-09 05:00:00,server_001,52.56,49.94,30.19,20.33
2024-01-09 06:00:00,server_001,48.43,47.87,30.88,10.88
2024-01-09 07:00:00,server_001,74.08,70.84,28.32,27.77
2024-01-09 08:00:00,server_001,60.65,64.12,36.09,25.65
2024-01-09 09:00:00,server_001,87.73,87.8,59.53,45.67
2024-01-09 10:00:00,server_001,92.06,89.97,63.55,53.8
2024-01-09 11:00:00,server_001,84.66,86.27,51.0,29.88
2024-01-09 12:00:00,server_001,95.64,91.76,52.38,53.82
2024-01-09 13:00:00,server_001,94.82,91.35,74.68,33.94
2024-01-09 14:00:00,server_001,88.75,88.31,63.47,44.45
2024-01-09 15:00:00,server_001,100.0,100.0,58.53,57.08
2024-01-09 16:00:00,server_001,87.29,87.58,56.55,37.89
2024-01-09 17:00:00,server_001,93.96,90.92,62.6,41.38
2024-01-09 18:00:00,server_001,70.96,69.28,55.08,55.38
2024-01-09 19:00:00,server_001,69.45,68.52,63.08,26.5
2024-01-09 20:00:00,server_001,69.29,68.44,50.17,40.45
2024-01-09 21:00:00,server_001,67.08,67.34,55.84,47.91
2024-01-09 22:00:00,server_001,42.74,45.03,29.52,6.14
2024-01-09 23:00:00,server_001,47.79,47.55,7.74,8.94
2024-01-10 00:00:00,server_001,49.8,48.56,20.31,24.0
2024-01-10 01:00:00,server_001,60.14,53.73,28.63,32.21
2024-01-10 02:00:00,server_001,50.9,49.11,30.73,29.79
2024-01-10 03:00:00,server_001,37.05,42.19,27.48,16.27
2024-01-10 04:00:00,server_001,44.47,45.89,41.11,22.69
2024-01-10 05:00:00,server_001,43.39,45.35,27.86,30.24
2024-01-10 06:00:00,server_001,48.2,47.76,50.84,9.35
2024-01-10 07:00:00,server_001,73.02,70.31,48.78,20.25
2024-01-10 08:00:00,server_001,71.93,69.76,38.41,36.15
2024-01-10 09:00:00,server_001,91.05,89.46,50.64,52.63
2024-01-10 10:00:00,server_001,86.27,87.07,55.14,48.02
2024-01-10 11:00:00,server_001,89.13,88.5,54.45,40.21
2024-01-10 12:00:00,server_001,92.96,90.42,59.28,44.85
2024-01-10 13:00:00,server_001,84.6,86.24,57.48,31.92
2024-01-10 14:00:00,server_001,94.12,91.0,43.91,45.87
2024-01-10 15:00:00,server_001,85.83,86.85,34.52,46.24
2024-01-10 16:00:00,server_001,83.1,85.49,42.36,44.18
2024-01-10 17:00:00,server_001,96.42,92.15,47.31,47.02
2024-01-10 18:00:00,server_001,63.83,65.72,52.64,30.89
2024-01-10 19:00:00,server_001,72.64,70.12,45.52,36.34
2024-01-10 20:00:00,server_001,63.47,65.53,47.24,33.2
2024-01-10 21:00:00,server_001,62.51,65.06,38.03,37.08
2024-01-10 22:00:00,server_001,45.57,46.45,30.26,11.89
2024-01-10 23:00:00,server_001,49.36,48.34,33.29,16.63
2024-01-11 00:00:00,server_001,53.73,50.52,41.17,24.85
2024-01-11 01:00:00,server_001,53.14,50.23,35.7,16.26
2024-01-11 02:00:00,server_001,55.97,51.65,34.2,37.98
2024-01-11 03:00:00,server_001,49.88,48.6,36.35,33.26
2024-01-11 04:00:00,server_001,50.87,49.1,26.37,14.27
2024-01-11 05:00:00,server_001,46.75,47.04,33.18,24.59
2024-01-11 06:00:00,server_001,46.97,47.15,40.9,11.93
2024-01-11 07:00:00,server_001,77.38,72.49,51.71,32.15
2024-01-11 08:00:00,server_001,72.01,69.81,41.61,39.84
2024-01-11 09:00:00,server_001,93.7,90.79,47.47,51.39
2024-01-11 10:00:00,server_001,86.2,87.04,60.5,50.21
2024-01-11 11:00:00,server_001,91.97,89.92,58.47,49.11
2024-01-11 12:00:00,server_001,100.0,100.0,52.46,49.07
2024-01-11 13:00:00,server_001,100.0,94.54,49.18,57.11
2024-01-11 14:00:00,server_001,87.36,87.62,59.79,39.64
2024-01-11 15:00:00,server_001,91.18,89.53,56.31,48.85
2024-01-11 16:00:00,server_001,90.32,89.1,44.13,56.88
2024-01-11 17:00:00,server_001,88.56,88.22,72.87,49.93
2024-01-11 18:00:00,server_001,72.1,69.85,32.8,36.15
2024-01-11 19:00:00,server_001,65.87,66.74,31.17,40.84
2024-01-11 20:00:00,server_001,69.49,68.54,48.89,34.43
2024-01-11 21:00:00,server_001,74.56,71.08,42.11,38.69
2024-01-11 22:00:00,server_001,51.9,49.61,18.81,15.62
2024-01-11 23:00:00,server_001,47.65,47.48,18.56,24.7
2024-01-12 00:00:00,server_001,59.72,53.52,51.24,28.56
2024-01-12 01:00:00,server_001,73.45,64.38,55.9,24.4
2024-01-12 02:00:00,server_001,53.8,50.56,17.75,32.34
2024-01-12 03:00:00,server_001,39.53,43.42,6.17,17.73
2024-01-12 04:00:00,server_001,50.3,48.81,30.06,19.58
2024-01-12 05:00:00,server_001,52.48,49.9,29.8,14.16
2024-01-12 06:00:00,server_001,51.26,49.29,33.37,20.84
2024-01-12 07:00:00,server_001,59.7,63.65,37.48,28.06
2024-01-12 08:00:00,server_001,64.62,66.11,23.88,30.14
2024-01-12 09:00:00,server_001,90.95,89.41,65.93,62.26
2024-01-12 10:00:00,server_001,89.16,88.52,67.26,50.7
2024-01-12 11:00:00,server_001,78.19,83.03,38.19,46.15
2024-01-12 12:00:00,server_001,88.78,88.33,58.37,31.14
2024-01-12 13:00:00,server_001,91.43,89.65,54.26,42.31
2024-01-12 14:00:00,server_001,95.8,91.84,62.99,45.97
2024-01-12 15:00:00,server_001,89.09,88.48,49.8,34.86
2024-01-12 16:00:00,server_001,86.03,86.95,47.8,51.57
2024-01-12 17:00:00,server_001,85.79,86.83,50.68,53.93
2024-01-12 18:00:00,server_001,64.81,66.2,41.42,39.18
2024-01-12 19:00:00,server_001,66.55,67.07,30.75,44.23
2024-01-12 20:00:00,server_001,79.16,73.38,47.88,40.19
2024-01-12 21:00:00,server_001,87.31,77.45,49.82,25.23
2024-01-12 22:00:00,server_001,40.28,43.8,26.07,37.27
2024-01-12 23:00:00,server_001,53.08,50.2,28.29,13.55
2024-01-13 00:00:00,server_001,42.88,40.37,11.19,31.61
2024-01-13 01:00:00,server_001,32.54,35.2,21.39,20.62
2024-01-13 02:00:00,server_001,35.83,36.84,28.29,3.87
2024-01-13 03:00:00,server_001,40.65,39.25,28.53,25.19
2024-01-13 04:00:00,server_001,33.91,35.88,21.39,12.84
2024-01-13 05:00:00,server_001,37.65,37.75,28.28,20.27
2024-01-13 06:00:00,server_001,41.13,39.49,17.8,12.05
2024-01-13 07:00:00,server_001,46.91,50.5,24.3,10.24
2024-01-13 08:00:00,server_001,46.7,50.39,43.18,26.5
2024-01-13 09:00:00,server_001,68.42,69.36,31.95,29.42
2024-01-13 10:00:00,server_001,64.89,67.6,34.92,16.31
2024-01-13 11:00:00,server_001,69.41,69.86,49.04,41.79
2024-01-13 12:00:00,server_001,100.0,89.92,45.74,35.38
2024-01-13 13:00:00,server_001,78.14,74.22,50.36,39.68
2024-01-13 14:00:00,server_001,64.47,67.38,36.81,25.8
2024-01-13 15:00:00,server_001,82.46,76.38,47.21,44.35
2024-01-13 16:00:00,server_001,94.71,86.51,61.28,43.46
2024-01-13 17:00:00,server_001,75.85,73.07,38.91,36.7
2024-01-13 18:00:00,server_001,55.66,54.87,39.61,18.91
2024-01-13 19:00:00,server_001,53.15,53.61,40.42,32.01
2024-01-13 20:00:00,server_001,75.89,68.99,46.32,41.32
2024-01-13 21:00:00,server_001,64.21,59.14,38.03,33.16
2024-01-13 22:00:00,server_001,37.23,37.54,16.46,19.7
2024-01-13 23:00:00,server_001,31.34,34.6,14.15,21.87
2024-01-14 00:00:00,server_001,43.27,40.56,11.76,10.51
2024-01-14 01:00:00,server_001,36.4,37.13,9.1,14.51
2024-01-14 02:00:00,server_001,37.16,37.51,25.92,19.66
2024-01-14 03:00:00,server_001,34.32,36.09,10.75,0.01
2024-01-14 04:00:00,server_001,43.02,40.44,39.5,14.36
2024-01-14 05:00:00,server_001,41.52,39.69,2.71,14.86
2024-01-14 06:00:00,server_001,43.49,40.67,16.66,13.3
2024-01-14 07:00:00,server_001,57.08,55.58,22.43,22.9
2024-01-14 08:00:00,server_001,53.99,54.03,41.24,21.19
2024-01-14 09:00:00,server_001,75.67,72.98,41.63,36.48
2024-01-14 10:00:00,server_001,67.89,69.09,63.19,29.95
2024-01-14 11:00:00,server_001,78.27,74.29,39.11,32.49
2024-01-14 12:00:00,server_001,75.01,72.66,42.52,33.36
2024-01-14 13:00:00,server_001,77.29,73.8,42.63,27.81
2024-01-14 14:00:00,server_001,59.97,65.13,29.92,41.19
2024-01-14 15:00:00,server_001,70.62,70.46,34.22,31.16
2024-01-14 16:00:00,server_001,77.15,73.73,45.9,41.66
2024-01-14 17:00:00,server_001,79.52,74.91,52.68,48.94
2024-01-14 18:00:00,server_001,55.78,54.93,33.1,28.91
2024-01-14 19:00:00,server_001,40.97,47.52,19.62,27.27
2024-01-14 20:00:00,server_001,54.65,54.36,34.61,35.14
2024-01-14 21:00:00,server_001,66.82,64.45,40.79,31.0
2024-01-14 22:00:00,server_001,39.42,38.64,25.28,18.54
2024-01-14 23:00:00,server_001,47.67,42.76,8.1,24.98
2024-01-15 00:00:00,server_001,43.05,45.18,22.16,28.0
2024-01-15 01:00:00,server_001,39.31,43.32,35.57,31.26
2024-01-15 02:00:00,server_001,57.0,52.16,26.16,31.26
2024-01-15 03:00:00,server_001,46.05,46.68,24.99,19.64
2024-01-15 04:00:00,server_001,49.76,48.54,41.05,15.7
2024-01-15 05:00:00,server_001,46.79,47.06,35.1,23.77
2024-01-15 06:00:00,server_001,54.8,51.06,36.77,22.2
2024-01-15 07:00:00,server_001,93.82,84.71,52.68,32.23
2024-01-15 08:00:00,server_001,63.26,65.43,41.31,42.41
2024-01-15 09:00:00,server_001,91.78,89.83,57.05,44.68
2024-01-15 10:00:00,server_001,100.0,94.8,45.62,49.29
2024-01-15 11:00:00,server_001,94.3,91.09,62.04,50.7
2024-01-15 12:00:00,server_001,93.88,90.88,39.72,42.33
2024-01-15 13:00:00,server_001,99.96,93.92,50.86,57.65
2024-01-15 14:00:00,server_001,93.56,90.72,61.65,34.52
2024-01-15 15:00:00,server_001,85.95,86.91,40.61,49.11
2024-01-15 16:00:00,server_001,89.14,88.51,67.9,44.43
2024-01-15 17:00:00,server_001,94.63,91.25,64.25,51.71
2024-01-15 18:00:00,server_001,80.5,74.05,28.3,31.51
2024-01-15 19:00:00,server_001,74.72,71.16,61.78,41.42
2024-01-15 20:00:00,server_001,66.8,67.2,38.17,39.92
2024-01-15 21:00:00,server_001,70.93,69.26,40.02,28.45
2024-01-15 22:00:00,server_001,47.72,47.52,31.56,29.69
2024-01-15 23:00:00,server_001,46.62,46.97,32.02,26.18
2024-01-16 00:00:00,server_001,52.32,49.82,35.35,23.28
2024-01-16 01:00:00,server_001,43.52,45.42,18.5,15.74
2024-01-16 02:00:00,server_001,47.14,47.23,35.96,21.52
2024-01-16 03:00:00,server_001,52.94,50.13,32.48,22.79
2024-01-16 04:00:00,server_001,51.48,49.4,1.35,27.23
2024-01-16 05:00:00,server_001,50.5,48.91,23.6,20.53
2024-01-16 06:00:00,server_001,45.49,46.4,6.99,15.79
2024-01-16 07:00:00,server_001,68.53,68.07,40.19,33.27
2024-01-16 08:00:00,server_001,77.19,72.4,46.33,37.12
2024-01-16 09:00:00,server_001,97.6,96.74,42.24,29.26
2024-01-16 10:00:00,server_001,84.25,86.06,32.18,39.39
2024-01-16 11:00:00,server_001,89.31,88.6,45.2,48.08
2024-01-16 12:00:00,server_001,99.48,93.68,48.12,51.84
2024-01-16 13:00:00,server_001,88.81,88.34,55.28,37.12
2024-01-16 14:00:00,server_001,83.63,85.75,51.58,51.36
2024-01-16 15:00:00,server_001,97.09,92.48,71.99,42.18
2024-01-16 16:00:00,server_001,100.0,98.87,54.32,51.03
2024-01-16 17:00:00,server_001,93.57,90.72,67.43,42.38
2024-01-16 18:00:00,server_001,83.96,79.78,48.33,30.88
2024-01-16 19:00:00,server_001,62.59,65.1,32.8,38.62
2024-01-16 20:00:00,server_001,64.51,66.05,49.87,35.76
2024-01-16 21:00:00,server_001,82.47,75.03,57.9,30.09
2024-01-16 22:00:00,server_001,48.21,47.76,33.46,33.57
2024-01-16 23:00:00,server_001,53.46,50.39,29.86,32.21
2024-01-17 00:00:00,server_001,50.74,49.03,43.97,17.92
2024-01-17 01:00:00,server_001,47.04,47.18,22.44,28.73
2024-01-17 02:00:00,server_001,50.92,49.12,52.93,24.93
2024-01-17 03:00:00,server_001,42.11,44.72,23.76,30.04
2024-01-17 04:00:00,server_001,58.18,52.75,54.47,32.66
2024-01-17 05:00:00,server_001,48.67,48.0,37.87,24.43
2024-01-17 06:00:00,server_001,52.42,49.87,40.53,17.59
2024-01-17 07:00:00,server_001,67.74,67.67,26.98,33.4
2024-01-17 08:00:00,server_001,71.79,69.69,58.11,35.11
2024-01-17 09:00:00,server_001,90.86,89.37,40.36,45.76
2024-01-17 10:00:00,server_001,84.42,86.15,58.62,48.06
2024-01-17 11:00:00,server_001,91.84,89.86,48.31,47.88
2024-01-17 12:00:00,server_001,93.83,90.85,57.35,44.7
2024-01-17 13:00:00,server_001,100.0,100.0,63.21,44.98
2024-01-17 14:00:00,server_001,86.62,87.25,57.52,33.3
2024-01-17 15:00:00,server_001,91.8,89.84,53.63,52.48
2024-01-17 16:00:00,server_001,95.17,91.52,55.19,49.15
2024-01-17 17:00:00,server_001,92.39,90.13,52.91,50.75
2024-01-17 18:00:00,server_001,69.45,68.52,42.82,26.29
2024-01-17 19:00:00,server_001,67.28,67.44,32.36,26.47
2024-01-17 20:00:00,server_001,67.57,67.58,25.93,40.0
2024-01-17 21:00:00,server_001,69.41,68.5,54.55,39.85
2024-01-17 22:00:00,server_001,58.18,52.75,44.52,21.78
2024-01-17 23:00:00,server_001,44.32,45.82,36.68,9.15
2024-01-18 00:00:00,server_001,51.71,49.51,25.08,33.19
2024-01-18 01:00:00,server_001,56.21,51.77,25.66,29.24
2024-01-18 02:00:00,server_001,51.07,49.19,16.19,22.1
2024-01-18 03:00:00,server_001,47.54,47.43,38.02,18.89
2024-01-18 04:00:00,server_001,37.13,42.23,4.64,0.0
2024-01-18 05:00:00,server_001,50.43,48.87,15.53,33.19
2024-01-18 06:00:00,server_001,49.49,48.41,17.95,11.79
2024-01-18 07:00:00,server_001,60.4,64.0,38.64,17.43
2024-01-18 08:00:00,server_001,62.83,65.22,49.05,41.63
2024-01-18 09:00:00,server_001,97.65,92.76,58.11,57.54
2024-01-18 10:00:00,server_001,93.12,90.5,53.48,54.33
2024-01-18 11:00:00,server_001,88.0,87.94,58.01,47.43
2024-01-18 12:00:00,server_001,90.8,89.34,40.8,45.87
2024-01-18 13:00:00,server_001,100.0,94.76,62.53,53.42
